beta,ctprime,yaw,ct,an,dPstar,us,A4,u4,v4
0.005,0.1,-0.7853981633974483,0.048629353182283175,0.01380171180149414,0.00008800984401784005,1.0000880059714923,0.7148857772675297,0.9754670177460195,0.008596536350323482
0.005,0.1,-0.6108652381980153,0.06474251358618756,0.017731405390956606,0.0001368789507504263,1.0001368695841086,0.8318873840472599,0.9672310732737285,0.009283695055805846
0.005,0.1,-0.4363323129985824,0.0787441674969418,0.02088549042917719,0.00018555906417504764,1.0001855418512853,0.9243159753672876,0.9600386968013694,0.008319680797422376
0.005,0.1,-0.2617993877991494,0.08904972070364572,0.023049627693220037,0.00022487936823522534,1.000224854088554,0.9884101652386738,0.95472672054709,0.005761940919792343
0.005,0.1,-0.08726646259971647,0.09450669836132093,0.02414100510080566,0.0002468604737261335,1.0002468300111982,1.0212594815304292,0.9519084761364996,0.0020592003725786005
0.005,0.1,0.08726646259971647,0.09450669836138736,0.024141005100462676,0.0002468604737264116,1.0002468300111986,1.0212594815308251,0.9519084761364651,-0.0020592003725800486
0.005,0.1,0.2617993877991494,0.08904972070347947,0.023049627694132057,0.0002248793682345334,1.0002248540885534,0.9884101652376618,0.9547267205471764,-0.005761940919781583
0.005,0.1,0.4363323129985824,0.07874416749691387,0.020885490429350857,0.00018555906417492288,1.0001855418512853,0.9243159753671099,0.9600386968013839,-0.008319680797419427
0.005,0.1,0.6108652381980153,0.0647425135861358,0.017731405391349157,0.00013687895075020738,1.0001368695841084,0.8318873840469045,0.9672310732737551,-0.00928369505579842
0.005,0.1,0.7853981633974483,0.04862935318243846,0.01380171179991949,0.00008800984401824805,1.0000880059714927,0.7148857772687293,0.97546701774594,-0.008596536350350932
0.005,1.2000000000000002,-0.7853981633974483,0.44344836386313025,0.14030202603556735,0.001029449841015678,1.0010289205023155,0.8128460136880772,0.7478639950567953,0.07839133629841409
0.005,1.2000000000000002,-0.6108652381980153,0.548678093291843,0.17452548849442934,0.0016104283501763121,1.00160913369454,0.9964125112638604,0.678623688428346,0.07867720636274946
0.005,1.2000000000000002,-0.4363323129985824,0.6290803903028501,0.2011104519605892,0.0022197867544848653,1.002217328481707,1.164922498649093,0.6215347537727476,0.06646521526126836
0.005,1.2000000000000002,-0.2617993877991494,0.6827619110484814,0.21909133549825305,0.0027308855305826158,1.002727166811151,1.296198261269758,0.5819324632791609,0.04417794646235505
0.005,1.2000000000000002,-0.08726646259971647,0.7095114363894872,0.22812877486597735,0.0030252322531133732,1.0030206700294084,1.3689329328322541,0.561703209555052,0.015459499056623218
0.005,1.2000000000000002,0.08726646259971647,0.7095114363895473,0.22812877486594468,0.0030252322531142115,1.0030206700294093,1.3689329328324373,0.5617032095549999,-0.015459499056624524
0.005,1.2000000000000002,0.2617993877991494,0.682761911048451,0.21909133549827045,0.0027308855305822,1.0027271668111506,1.296198261269672,0.5819324632791864,-0.04417794646235309
0.005,1.2000000000000002,0.4363323129985824,0.6290803903028117,0.2011104519606136,0.0022197867544844515,1.0022173284817069,1.1649224986489992,0.6215347537727784,-0.0664652152612643
0.005,1.2000000000000002,0.6108652381980153,0.5486780932919554,0.17452548849434485,0.0016104283501771602,1.0016091336945407,0.9964125112640846,0.6786236884282627,-0.07867720636276555
0.005,1.2000000000000002,0.7853981633974483,0.4434483638631504,0.1403020260355479,0.0010294498410157338,1.0010289205023155,0.8128460136881105,0.7478639950567816,-0.07839133629841763
0.005,2.3000000000000003,-0.7853981633974483,0.6740287407252658,0.23442051460560104,0.0019051803642319968,1.001903368957536,0.9202686264034683,0.5882482898208446,0.11915257332025891
0.005,2.3000000000000003,-0.6108652381980153,0.7902995103032786,0.28440479967480303,0.0030235158812436554,1.00301895882505,1.1863913695488946,0.4940876057223225,0.11332429419243235
0.005,2.3000000000000003,-0.4363323129985824,0.8693196357265723,0.3216558013364585,0.004187518186300436,1.0041787870556769,1.4445097413768373,0.4256036576211657,0.09184758833691294
0.005,2.3000000000000003,-0.2617993877991494,0.9175737444280003,0.3460978083835153,0.005171257776574889,1.0051579555239947,1.6546773678453426,0.381718531501273,0.059371390063446904
0.005,2.3000000000000003,-0.08726646259971647,0.9403504307597379,0.3581453085610986,0.005738481840017184,1.0057221105653573,1.7736851309311545,0.3604992956745938,0.02048923505898297
0.005,2.3000000000000003,0.08726646259971647,0.9403504307597256,0.3581453085611029,0.005738481840016732,1.0057221105653569,1.7736851309310608,0.3604992956746097,-0.0204892350589827
0.005,2.3000000000000003,0.2617993877991494,0.9175737444279384,0.34609780838353743,0.005171257776574649,1.0051579555239945,1.6546773678453053,0.38171853150130663,-0.059371390063443864
0.005,2.3000000000000003,0.4363323129985824,0.8693196357265723,0.3216558013364585,0.004187518186300436,1.0041787870556769,1.4445097413768373,0.4256036576211657,-0.09184758833691294
0.005,2.3000000000000003,0.6108652381980153,0.7902995103032786,0.28440479967480303,0.0030235158812436554,1.00301895882505,1.1863913695488946,0.4940876057223225,-0.11332429419243235
0.005,2.3000000000000003,0.7853981633974483,0.6740287407253103,0.23442051460557584,0.0019051803642323672,1.0019033689575363,0.9202686264035596,0.5882482898208058,-0.11915257332026676
0.005,3.4000000000000004,-0.7853981633974483,0.81573159055949,0.3072936321255466,0.002714361606139694,1.002710687692196,1.0291651661042127,0.47593660007359856,0.14420233482702402
0.005,3.4000000000000004,-0.6108652381980153,0.920413095823534,0.36483374532569657,0.004270823392766156,1.004261742169606,1.366821130647899,0.38066263705827635,0.13198181586832416
0.005,3.4000000000000004,-0.4363323129985824,0.9851754815810567,0.40606129540701813,0.005895093733085352,1.0058778193529125,1.7038402781611743,0.31592824742785,0.10408828738384261
0.005,3.4000000000000004,-0.2617993877991494,1.0227179317369715,0.4322009014223538,0.00723148318782383,1.0072055234040098,1.975323256694452,0.2776516818143603,0.06617471966647294
0.005,3.4000000000000004,-0.08726646259971647,1.0401978400311442,0.4447682542008483,0.00797246832096441,1.0079409390643526,2.124436711666974,0.2603602725671386,0.022664803838102914
0.005,3.4000000000000004,0.08726646259971647,1.0401978400311374,0.44476825420085014,0.007972468320963889,1.0079409390643521,2.124436711666884,0.26036027256715005,-0.02266480383810276
0.005,3.4000000000000004,0.2617993877991494,1.0227179317369568,0.43220090142235784,0.007231483187822552,1.0072055234040085,1.9753232566941696,0.27765168181439553,-0.06617471966647194
0.005,3.4000000000000004,0.4363323129985824,0.985175481581056,0.4060612954070184,0.005895093733085228,1.0058778193529125,1.7038402781611655,0.31592824742785125,-0.10408828738384253
0.005,3.4000000000000004,0.6108652381980153,0.9204130958235195,0.3648337453257015,0.0042708233927657565,1.0042617421696056,1.3668211306478246,0.38066263705829445,-0.1319818158683222
0.005,3.4000000000000004,0.7853981633974483,0.8157315905595479,0.30729363212552196,0.002714361606140458,1.002710687692197,1.0291651661043857,0.47593660007353583,-0.14420233482703432
0.005,4.5,-0.7853981633974483,0.9075715684533283,0.36488966192100725,0.0034140697132664715,1.0034082615897342,1.1269023667880291,0.3985179551439323,0.16043750261635956
0.005,4.5,-0.6108652381980153,0.9962909735609732,0.4255895642117125,0.005345491436414261,1.0053312801623298,1.5286359287862432,0.30781003761071973,0.1428622565459548
0.005,4.5,-0.4363323129985824,1.0489877722036736,0.4672747958360905,0.007248304554012521,1.0072222242921494,1.9134385767794553,0.25232741033042777,0.11083034721899263
